,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
78,0,0.01,20,0.0001,BFGS,0.752619612,0.758481305,12.19321299
79,0,0.01,20,0.0001,SA,0.481226616,0.479428324,3.798205614
80,0,0.01,50,1,BFGS,0.779375143,0.785044031,22.00736094
81,0,0.01,50,1,SA,0.551483945,0.553101391,10.10153532
82,0,0.01,50,0.1,BFGS,0.779375143,0.785044031,22.69521475
83,0,0.01,50,0.1,SA,0.551483945,0.553101391,9.68863821
84,0,0.01,50,0.01,BFGS,0.779375143,0.785044031,22.7969768
85,0,0.01,50,0.01,SA,0.551483945,0.553101391,9.998160839
86,0,0.01,50,0.001,BFGS,0.779375143,0.785044031,22.7052269
87,0,0.01,50,0.001,SA,0.551483945,0.553101391,10.20004177
88,0,0.01,50,0.0001,BFGS,0.779375143,0.785044031,21.30170345
89,0,0.01,50,0.0001,SA,0.551483945,0.553101391,10.39903235
90,0,0.001,10,1,BFGS,0.696979175,0.709349887,8.301400185
91,0,0.001,10,1,SA,0.478279177,0.476829796,2.291540384
92,0,0.001,10,0.1,BFGS,0.696979175,0.709349887,7.095939398
93,0,0.001,10,0.1,SA,0.478279177,0.476829796,2.004159927
94,0,0.001,10,0.01,BFGS,0.696979175,0.709349887,8.397503614
95,0,0.001,10,0.01,SA,0.478279177,0.476829796,2.191393137
96,0,0.001,10,0.001,BFGS,0.696979175,0.709349887,7.595781565
97,0,0.001,10,0.001,SA,0.478279177,0.476829796,2.392457485
98,0,0.001,10,0.0001,BFGS,0.696979175,0.709349887,8.295718908
99,0,0.001,10,0.0001,SA,0.478279177,0.476829796,2.494115114
100,0,0.001,20,1,BFGS,0.752619612,0.758481305,12.69152927
101,0,0.001,20,1,SA,0.478279177,0.476829796,3.794665575
102,0,0.001,20,0.1,BFGS,0.752619612,0.758481305,11.99526691
103,0,0.001,20,0.1,SA,0.478279177,0.476829796,4.191888809
104,0,0.001,20,0.01,BFGS,0.752619612,0.758481305,11.89499187
105,0,0.001,20,0.01,SA,0.478279177,0.476829796,4.092782974
106,0,0.001,20,0.001,BFGS,0.752619612,0.758481305,11.00070405
107,0,0.001,20,0.001,SA,0.478279177,0.476829796,4.412257195
108,0,0.001,20,0.0001,BFGS,0.752619612,0.758481305,11.80128121
109,0,0.001,20,0.0001,SA,0.478279177,0.476829796,4.199074507
110,0,0.001,50,1,BFGS,0.779375143,0.785044031,23.00233126
111,0,0.001,50,1,SA,0.478279177,0.476829796,10.18910956
112,0,0.001,50,0.1,BFGS,0.779375143,0.785044031,22.99616265
113,0,0.001,50,0.1,SA,0.478279177,0.476829796,9.899231911
114,0,0.001,50,0.01,BFGS,0.779375143,0.785044031,23.69912934
